,Hotel Name,Price of the hotel,stay_description
0,Room in Chennai,"₹1,906 ",3rd Private Room with Balcony & Terrace Access
1,Apartment in Chennai,"₹6,284 ","Surya Kutir-Peaceful Parkside 2BHK-Luz, Mylapore"
2,Flat in Chennai,"₹3,424 ",Royal Eden Kingdom Luxury Home
3,Flat in Chennai,"₹1,861 ",Private Studio Room @ Pallikaranai|Embassy|Fayola
4,Home in Chennai,"₹6,100 ",Nirvana - Architect’s Home 2bhk duplex in Nolambur
5,Flat in Chennai,"₹4,907 ",Specious 2BR Flat
6,Bungalow in Chennai,"₹2,852 ",4Bhk Individual House at Adyar
7,Flat in Chennai,"₹3,386 ",Sukrithi Premium Service Apartment T1
8,Flat in Chennai,"₹3,701 ",Millan Residence Lake view Honeymoon queen Room
9,Room in Chennai,"₹4,017 ",Private Bedroom - GoEarthy
10,Flat in Chennai,"₹2,485 ",Velavan Kudil
11,Flat in Chennai,"₹1,703 ",Oyster - 3BHK Luxury Apartment
12,Holiday home in Chennai,"₹3,081 ",Fisherman's Hamlet
13,Holiday home in Kanathur Reddykuppam,"₹2,544 ",Best peaceful private flat for work or holiday
14,Flat in Chennai,"₹4,030 ",Sishya service apartment/1BHK @Thoraipakkam/Omr
15,Room in Chennai,"₹2,634 ",4A Private Room with Balcony & Terrace Access
16,Home in Chennai,"₹1,780 ",Independent Studio Room in Thiruvanmiyur
17,Flat in Chennai,"₹1,550 ",Aishwaryam_Studio Apartment
18,Flat in Chennai,"₹2,008 ",🏢15%off>14D👨‍💻OMR🌅Sunrise🌊SeaView💙100MBPS🏖️
19,Flat in Chennai,"₹1,726 ",Fully Furnished & Amazing view
20,Guest suite in Chennai,"₹9,144 ",Bloom premium guest suite in Mogappair
21,Room in Chennai,"₹1,369 ",Ideal Home very close to Airport - Ganga
22,Room in Chennai,"₹6,906 ",Room with trundle bed
23,Apartment in Chennai,"₹2,260 ",Nawa 'z Luxe Pad | 1 BHK@Sky of Adyar - Penthouse
24,Room in Chennai,"₹3,812 ",Come to place closer to ur Home
25,Home in Chennai,"₹3,482 ",Delightful villa/pool/Sea side
26,Tiny home in Chennai,"₹4,176 ",1BK Groundflor Studio Bedroom Kitchen AC Wifi City
27,Flat in Chennai,"₹4,456 ",Superb Flat in Heart of Chennai Shopping District
28,Flat in Chennai,"₹3,252 ",Comfortable Studio Room
29,Home in Chennai,"₹1,769 ",Janhvi's Homestay | Green Meadow 1 BHK | Airport
30,Apartment in Kanathur Reddykuppam,"₹1,541 ",A luxury stay
31,Flat in Chennai,"₹4,030 ",Aura Abode
32,Home in Chennai,"₹4,907 ",Faith Villa
33,Flat in Chennai,"₹1,342 ",Vista Vibes -Centrally Located Studio Apt
34,Room in Chennai,"₹1,141 ",Sunrise/USConsulate/Apollo/Adyar/AC/Unlimited Wifi
35,Room in Chennai,₹987 ,Calmchaos-Couple friendly Stay near Shell India
36,Villa in Muthukadu,"₹2,536 ",Beach view villa
37,Flat in Chennai,"₹5,106 ",Sugu's Home
38,Flat in Chennai,"₹4,950 ",Urban Oasis: 2BHK Near Pondy Bazaar
39,Villa in Sirukadal,"₹22,956 ",HemaRay villa - luxury stay with pool
40,Shared room in Chennai,"₹3,422 ","Zostel like stay near Chepauk stadium, Chennai"
41,Flat in Chennai,"₹1,773 ",🏢15%off>14D👨‍💻OMR🌅Sunrise🌊SeaView💙100MBPS🏖️
42,Home in Chennai,"₹5,962 ",Independent Studio Room in Thiruvanmiyur
43,Home in Chennai,"₹6,936 ",Madras Roof House ECR BeachVilla
44,Guest house in Chennai,"₹17,132 ",Vibe Villa Gaming Pad
45,Room in Chennai,"₹1,150 ",A cozy private room in Alwarpet
46,Flat in Chennai,"₹2,054 ",Taara Luxury Apartments -NewYork
47,Room in Chennai,"₹1,703 ",Room with trundle bed
48,Room in Chennai,"₹2,456 ",Rathna
49,Flat in Chennai,"₹6,265 ",Vista Vibes -Centrally Located Studio Apt
50,Home in Chennai,"₹2,056 ",2bhk Villa Near Chennai Airport!
51,Apartment in Kanathur Reddykuppam,"₹13,124 ",Heaven in ECR
52,Villa in Pattipulam,"₹1,726 ",Villa A37 - luxury Stay
53,Apartment in Chennai,"₹5,706 ","BEST 2BHK near Airport | Spacious, AC, RO, Fridge."
54,Flat in Chennai,"₹10,296 ",Fully Furnished & Amazing view
55,Flat in Chennai,"₹1,586 ",Sukrithi Premium Service Apartment S2
56,Flat in Chennai,"₹3,650 ",The Tourist
57,Home in Chennai,"₹3,321 ",Janhvi's Homestay | Boho Theme 1BHK | Near Airport
58,Room in Chennai,"₹6,000 ",Private Air-Conditioned Bedroom near Anna Nagar
59,Shared room in Chennai,"₹3,700 ",Bed @ Bunkhouse - GoEarthy
60,Apartment in Chennai,"₹2,465 ",Home n Chennai Palavakam ECR OMR
61,Home in Chennai,"₹2,066 ",Brand new 2Bhk Kottivakkam ECR
62,Flat in Chennai,"₹2,739 ",Your ideal apartment retreat!
63,Home in Kanathur Reddykuppam,"₹5,106 ",Seaside Lush Green villa with Private Pool
64,Flat in Kanathur Reddykuppam,"₹1,369 ",Condo Unit - Next to Mayajaal
65,Flat in Gerugambakkam,"₹4,907 ",Serviced Apartment near L & T
66,Flat in Chennai,"₹2,943 ",The Sweet Home
67,Home in Chennai,"₹2,853 ",Lovely 3BHK Bungalow Apartment - The Nest
68,Flat in Chennai,"₹3,422 ",Luxury/Posh 3 BR Apt Airport Take off Landing View
69,Bungalow in Chennai,"₹17,132 ",Juhu beach house ECR
70,Room in Chennai,"₹1,773 ",The Farm House - Part 2
71,Home in Chennai,"₹6,800 ",(TAM3) -Spacious 1BHK@Tambaram near Sanatorium Stn
72,Room in Chennai,"₹3,252 ",4A Private Room with Balcony & Terrace Access
73,Room in Chennai,"₹4,793 ",Medium double-bed modern room with personal study
